Entity ID,Appearance #,Gloss,Context (±2 signs)
9,1,AUF-OFFEN1*,$INDEX1 TAG1A* AUF-OFFEN1* $INDEX1
9,2,$INDEX1,TAG1A* AUF-OFFEN1* $INDEX1
28,1,$INDEX1,KANN2B* EINTRETEN1A^* $INDEX1 EINTRETEN1A* $INDEX1
28,2,$INDEX1,$INDEX1 EINTRETEN1A* $INDEX1
41,1,THEATER6*,TAUB-GEHÖRLOS1A THEATER6* $INDEX1 KARLSRUHE2*
41,2,$INDEX1,TAUB-GEHÖRLOS1A THEATER6* $INDEX1 KARLSRUHE2* $INDEX1
41,3,$INDEX1,$INDEX1 KARLSRUHE2* $INDEX1 DABEI1A* ICH1
66,1,$INDEX1,STUTTGART1 AUCH1A $INDEX1 $PMS* ABER1*
79,1,$INDEX1,$INDEX1
79,2,$INDEX1,$INDEX1 $PMS* $INDEX1
81,1,$PMS*,$INDEX1 $PMS* $INDEX1 $ALPHA1:S
81,2,$INDEX1,$INDEX1 $PMS* $INDEX1 $ALPHA1:S SEIN-IHR1
79,3,$INDEX1,MIT1A* SPIELEN2 $INDEX1
105,1,$INDEX1,ALLE1A* JAHR1B* $INDEX1 VERANSTALTUNG1
105,2,VERANSTALTUNG1,JAHR1B* $INDEX1 VERANSTALTUNG1
138,1,ÜBER1,ÜBER1* KASSE3 ÜBER1 $INDEX1 WAHL1A
138,2,$INDEX1,KASSE3 ÜBER1 $INDEX1 WAHL1A $INDEX1
140,1,WAHL1A,ÜBER1 $INDEX1 WAHL1A $INDEX1
140,2,$INDEX1,$INDEX1 WAHL1A $INDEX1
155,1,INFORMATION1*,INFORMATION1* WEITER1A LEITEN2
155,2,$INDEX1*,WEITER1A LEITEN2 $INDEX1* ALLE1A* VEREIN2A
178,1,KULTUR1A*,AUCH3A* DAZU1* KULTUR1A* TAG1A $INDEX2
178,2,TAG1A,DAZU1* KULTUR1A* TAG1A $INDEX2 JUNG1*
178,3,$INDEX2,KULTUR1A* TAG1A $INDEX2 JUNG1* KULTUR1A
221,1,$NAME,STUTTGART1 $NUM-EINER1A:1d $NAME $INDEX1 $NUM-EINER1A:1d
221,2,$INDEX1,$NUM-EINER1A:1d $NAME $INDEX1 $NUM-EINER1A:1d FREIBURG1
272,1,DA1*,VIEL1A* INTERESSE1A DA1* $INDEX1
272,2,$INDEX1,INTERESSE1A DA1* $INDEX1
289,1,VERBAND3B,VERBAND3B TEILHABE2 $INDEX1
289,2,$INDEX1,VERBAND3B TEILHABE2 $INDEX1 TEILNEHMEN1
431,1,$INDEX1,$INDEX1 SELBST1A SPIELEN2
431,2,$INDEX1,SELBST1A SPIELEN2 $INDEX1
