group,fold,metric,recall,precision,f1
dz,1,muc,71.43%,76.92%,74.07%
dz,1,bcub,70.59%,66.67%,68.57%
dz,1,ceafe,74.60%,24.87%,37.30%
df,1,muc,78.57%,68.75%,73.33%
df,1,bcub,72.35%,65.22%,68.60%
df,1,ceafe,65.71%,28.16%,39.43%
cz,1,muc,71.43%,83.33%,76.92%
cz,1,bcub,70.59%,86.27%,77.65%
cz,1,ceafe,74.60%,44.76%,55.95%
cf,1,muc,78.57%,78.57%,78.57%
cf,1,bcub,68.24%,73.61%,70.82%
cf,1,ceafe,52.38%,39.29%,44.90%
dz,2,muc,30.00%,12.00%,17.14%
dz,2,bcub,39.06%,11.98%,18.34%
dz,2,ceafe,28.96%,24.82%,26.73%
df,2,muc,0.00%,0.00%,0.00%
df,2,bcub,16.67%,70.00%,26.92%
df,2,ceafe,42.78%,25.67%,32.08%
cz,2,muc,20.00%,28.57%,23.53%
cz,2,bcub,29.17%,31.25%,30.17%
cz,2,ceafe,47.06%,31.38%,37.65%
cf,2,muc,20.00%,50.00%,28.57%
cf,2,bcub,31.25%,45.00%,36.89%
cf,2,ceafe,48.73%,26.58%,34.40%
dz,3,muc,33.33%,50.00%,40.00%
dz,3,bcub,50.00%,62.50%,55.56%
dz,3,ceafe,55.56%,83.33%,66.67%
df,3,muc,33.33%,100.00%,50.00%
df,3,bcub,38.89%,75.00%,51.22%
df,3,ceafe,50.00%,50.00%,50.00%
cz,3,muc,33.33%,100.00%,50.00%
cz,3,bcub,50.00%,60.00%,54.55%
cz,3,ceafe,66.67%,50.00%,57.14%
cf,3,muc,100.00%,100.00%,100.00%
cf,3,bcub,100.00%,75.00%,85.71%
cf,3,ceafe,100.00%,60.00%,75.00%
dz,4,muc,78.57%,84.62%,81.48%
dz,4,bcub,73.53%,59.50%,65.78%
dz,4,ceafe,87.30%,29.10%,43.65%
df,4,muc,64.29%,50.00%,56.25%
df,4,bcub,61.76%,41.69%,49.78%
df,4,ceafe,41.27%,13.76%,20.63%
cz,4,muc,71.43%,38.46%,50.00%
cz,4,bcub,63.73%,32.16%,42.75%
cz,4,ceafe,48.41%,16.14%,24.21%
cf,4,muc,64.29%,69.23%,66.67%
cf,4,bcub,68.63%,67.10%,67.85%
cf,4,ceafe,74.60%,27.98%,40.69%
dz,5,muc,42.86%,69.23%,52.94%
dz,5,bcub,27.11%,57.03%,36.75%
dz,5,ceafe,48.61%,42.54%,45.37%
df,5,muc,52.38%,47.83%,50.00%
df,5,bcub,32.58%,41.51%,36.50%
df,5,ceafe,34.52%,30.21%,32.22%
cz,5,muc,42.86%,32.14%,36.73%
cz,5,bcub,25.51%,29.14%,27.21%
cz,5,ceafe,36.53%,15.98%,22.23%
cf,5,muc,57.14%,75.00%,64.86%
cf,5,bcub,36.36%,50.24%,42.19%
cf,5,ceafe,22.56%,52.63%,31.58%
